ztf_id,if_score,if_outlier
ZTF19aamqebl,0.09532624629872027,1
ZTF19aamhqej,0.03982960734821417,1
ZTF19aamvmer,0.11644876155081896,1
ZTF19aanejfr,0.0892163865580326,1
ZTF19aanlekq,0.11169082098657496,1
ZTF19aamvape,0.08722534354848777,1
ZTF19aanfukh,0.12672918200157463,1
ZTF19aanfyey,0.13562505137496622,1
ZTF19aanhhal,0.09036914833758564,1
ZTF19aanijpu,0.10862695941414391,1
ZTF19aangier,0.11617617517024681,1
ZTF19aanhlzi,0.13413608659054438,1
ZTF19aaniore,0.09397074959509488,1
ZTF19aanhgqg,0.03571314638609063,1
ZTF19aamrais,0.11791554693982198,1
ZTF19aalbrgu,0.0500114883956671,1
ZTF19aaniqrr,0.03210876415203007,1
ZTF19aanmdsr,0.10252976919919449,1
ZTF19aanirdx,0.11567560752432993,1
ZTF19aanircs,0.1110278254955005,1
ZTF19aanovps,0.08932925088206761,1
ZTF19aanmeyw,0.07087122976447646,1
ZTF18accngxc,0.015013836155453542,1
ZTF19aanesxt,0.07741136636401835,1
ZTF19aanrrqu,0.09231294544075286,1
ZTF19aanramr,0.1041510701054999,1
ZTF19aaneugz,0.12443119246210754,1
ZTF19aanpcep,0.1118173349273972,1
ZTF19aansyyn,0.13276308651385044,1
ZTF19aaomkvl,0.08738222609880458,1
ZTF19aanuhox,0.12302568220900267,1
ZTF19aanxgrz,0.04282009214964755,1
ZTF19aaokist,0.11517664667463501,1
ZTF19aanuuen,0.13593693650888322,1
ZTF19aanxosu,0.09547254852482306,1
ZTF19aapfnym,0.10342879935061977,1
ZTF19aapafit,0.07812116512636841,1
ZTF19aaoyjoz,0.11137670386507609,1
ZTF19aaoyech,0.1134622999130262,1
ZTF19aaozpew,0.09388102913147722,1
ZTF19aaozplq,0.1343174392268212,1
ZTF19aapadxs,0.1029043217633851,1
ZTF19aaqtyku,0.07836012338207049,1
ZTF19aapafqd,0.078948427492813,1
ZTF19aapbfot,0.11112261690257791,1
ZTF19aapbgmp,0.0947773561327434,1
ZTF19aaphmto,0.10400101376859633,1
ZTF19aapeime,0.04895221294394797,1
ZTF19aaozsuh,0.10133873416508477,1
ZTF19aarfyvc,0.12541716047778906,1
ZTF19aapszzy,0.08572583085893098,1
ZTF19aapnzde,0.1167788211651562,1
ZTF19aapocyd,0.12703303352943401,1
ZTF19aaoxvfe,0.0923878904386593,1
ZTF19aaputrv,0.0752317431569482,1
ZTF19aaqdkrm,0.11331172864667927,1
ZTF19aardunx,0.06613309347288854,1
ZTF19aaqxosb,0.07110735712841748,1
ZTF19aaraxhh,0.10252275986068587,1
ZTF19aarfksi,0.13182307923803022,1
ZTF19aariwpf,0.09578362488090425,1
ZTF19aawsdlq,0.06642209376440367,1
ZTF19aaqxcfs,0.12325873347788974,1
ZTF19aarifvr,0.10420902990069669,1
ZTF19aarhxgn,0.06365977993024718,1
ZTF19aarfkch,0.10346572872498982,1
ZTF19aarlefl,0.08281076220268274,1
ZTF19aapzbjr,0.08876853124635303,1
ZTF19aarixue,0.13099455965982137,1
ZTF19aarprog,0.09947493993118467,1
ZTF19aarmznp,0.08252032839115614,1
ZTF19aartuev,0.09844677395759538,1
ZTF19aartuli,0.0776673984100879,1
ZTF19aariwfe,0.01797846368593886,1
ZTF19aasekcx,0.02040305206581955,1
ZTF19aatlqdf,0.10748503669715193,1
ZTF19aatesgp,0.022080963647608642,1
ZTF19aatlmbo,-0.0537909184247124,-1
ZTF19aatgxjy,0.07440176355320416,1
ZTF19aatgwhs,0.08976757500898724,1
ZTF19aatheus,0.060368814187606756,1
ZTF19aatgrpm,0.08609612310679698,1
ZTF19aasmkhn,0.09228768228200362,1
ZTF19aathllr,0.12286392464415602,1
ZTF19aarphwc,0.12193281501948317,1
ZTF18aaxokeg,0.11243609710104763,1
ZTF19aatgznl,0.12207803930311872,1
ZTF18aaqkdwu,0.11060883061316085,1
ZTF19aatqzim,0.1261370501258821,1
ZTF19aatgrxl,0.11438640648226706,1
ZTF19aatgrxv,0.13962761851576583,1
ZTF19aathcvn,0.12449618197962325,1
ZTF19aauaaxi,0.0668790993152969,1
ZTF19aaugoig,0.13712713643138585,1
ZTF19aauguzk,0.12162350354622631,1
ZTF19aauishy,0.029766246070958124,1
ZTF19aauisdr,0.10834672563171877,1
ZTF19aaugaam,0.08761684246060025,1
ZTF19aauitks,0.11386503067929571,1
ZTF19aaujiwc,0.11521563505774679,1
ZTF19aaupkev,0.12779869922641124,1
ZTF19aaulzvc,0.07978761920146521,1
ZTF19aauivtj,0.11963786609865407,1
ZTF19aaurxsa,0.12239943337166564,1
ZTF18aaqkcso,-0.06012684781075961,-1
ZTF19aauplxw,0.10136714062837232,1
ZTF19aaupkrl,0.08247632402933924,1
ZTF19aauhhjy,0.12891666324815582,1
ZTF18aaxeoqk,0.0838713985656952,1
ZTF19aaurhox,0.11369431791828055,1
ZTF19aaumvig,0.1250777349476898,1
ZTF19aaujzqh,0.09687315485933262,1
ZTF19aaurstb,0.09960754822389467,1
ZTF19aauqwna,0.09906101690436936,1
ZTF19aauxxgk,0.0696454355704621,1
ZTF19aavbjfp,0.07318816811785445,1
ZTF19aavkptg,0.09166505682568021,1
ZTF19aavbkly,0.08912508605634306,1
ZTF19aavkhuy,0.1211774657936982,1
ZTF19aavhblr,0.11368590953143604,1
ZTF19aauxmqj,0.1031418468446541,1
ZTF19aavissk,0.11005559327862002,1
ZTF19aavidqf,0.13062718893648573,1
ZTF19aavivbl,0.12359907811952042,1
ZTF19aavhypb,0.09210737349841963,1
ZTF19aavmgtv,0.08116278461818344,1
ZTF19aavhxby,0.039169038346584195,1
ZTF19aavhzsc,0.09552053441400155,1
ZTF19aavoweu,0.087583294047338,1
ZTF19aavnwxf,0.12134245219840939,1
ZTF19aavnxwj,0.13402912820017931,1
ZTF19aawwlxc,0.10451544669419155,1
ZTF19aavjlkx,0.12434974971782997,1
ZTF19aavmlqh,0.13847820951229345,1
ZTF19aavounq,0.13325411250601193,1
ZTF19aawfcgp,0.04547237043651592,1
ZTF19aavouyw,0.09572225225326142,1
ZTF19aavoiyc,0.11303898725270195,1
ZTF19aavnwyt,0.1160811001822839,1
ZTF19aavrswr,0.1198597844821046,1
ZTF19aawrumx,0.126675385702253,1
ZTF18aarlukc,0.1070951610462369,1
ZTF19aavxpbx,0.0951886364457259,1
ZTF19aawgfnn,0.13238770929144417,1
ZTF19aavsyhq,0.10331476553967445,1
ZTF19aavsahh,0.12807562012618928,1
ZTF19aawfbtg,0.1005592096287975,1
ZTF19aavitlq,0.10568088542088305,1
ZTF19aawgxdn,0.034340308438386535,1
ZTF19aawafvn,0.12281674100576134,1
ZTF19aaxhysx,0.1004518072549071,1
ZTF19aawmqtd,0.12478285843408704,1
ZTF19aavjukt,0.08841622398723137,1
ZTF19aawmkja,0.07932443021340635,1
ZTF19aawnqoj,0.1331703202528366,1
ZTF19aawqcgy,0.06851759145588326,1
ZTF19aavvozj,0.10441407472960229,1
ZTF19aawqckx,0.08838354882169375,1
ZTF19aaxqsbn,0.1269792811708248,1
ZTF19aaxffum,0.11155366798902283,1
ZTF19aaxfcpq,0.12230027602273869,1
ZTF19aaxfzao,0.09832635752750801,1
ZTF19aawyepw,0.12124576745888876,1
ZTF18aanygjk,0.1298952073855107,1
ZTF19aaxibby,0.13718238471022198,1
ZTF19aaxibpz,0.10848183201134765,1
ZTF19aaxyukr,0.11426823745987819,1
ZTF19aayabqe,0.09839786203949746,1
ZTF19aayfaum,0.0346693407434307,1
ZTF19aayqait,0.11671960196523978,1
ZTF19aaycomi,0.07583846145957618,1
ZTF19aayslow,0.09526642081361691,1
ZTF19aayejww,0.10996660118737012,1
ZTF19aaxzdtw,0.08067244930578521,1
ZTF19aavjzrz,0.045034765953811506,1
ZTF19aayogzn,0.1364450282712391,1
ZTF19aayrosj,0.0892104227786531,1
ZTF19aaypehm,0.11419109788787318,1
ZTF19aayveer,0.11636199899015498,1
ZTF19aazdcmj,0.11908709735275341,1
