ztf_id,label,redshift,if_anomaly,ae_anomaly,ocsvm_anomaly,ensemble_score,dq_risk,likely_bogus,final_score,final_rank,dq_total_points,dq_g_frac,dq_r_frac,dq_span,dq_max_gap,dq_median_gap,dq_frac_imputed,dq_log_n,dq_sampling_density
ZTF20acyxrez,SN Ia,0.0917,0.09464506855602939,0.014043906877689203,0.18830222154897547,0.09899706566089801,0.04751574075082317,False,0.09664510620738029,2023.0,22,0.4545454545454545,0.5454545454545454,59.895023099612445,19.006296300329268,1.9712963001802564,0.0,1.3424226808222062,0.3673093165589304
ZTF20adadsgm,SN Ia,0.04394,0.17287306963362614,0.017657905000953274,0.261919880396388,0.15081695167698914,0.03962667824933305,False,0.1478287642676645,922.0,26,0.5,0.5,51.87078709993512,15.850671299733222,1.9188195001333952,0.0,1.414973347970818,0.5012455266951699
ZTF20acztnts,SN Ia,0.06819,0.07762507254285989,0.01637665894586546,0.17094729272921128,0.08831634140597888,0.04223585075000301,False,0.08645128349877428,2317.0,30,0.4,0.6,81.91126159997657,16.894340300001204,1.9521296001039443,0.0,1.4771212547196624,0.3662500053595632
ZTF20adadlqm,SN II,0.02100,0.07785443172921314,0.02811803075316815,0.0974956849996439,0.06782271582734173,0.042438657250022514,False,0.0663835633319606,2953.0,36,0.3888888888888889,0.6111111111111112,68.92543980013579,16.975462900009006,1.938437500037253,0.0,1.5563025007672873,0.5223035225366683
ZTF20aczsjzc,SN Ia,0.07711,0.09224549947020977,0.02806209832472963,0.186532693695453,0.10228009716346413,0.04234496525023133,False,0.10011457358337555,1924.0,23,0.4347826086956521,0.5652173913043478,58.9400809998624,16.93798610009253,1.9411110999062655,0.0,1.3617278360175928,0.3902268135677264
ZTF20adadrhw,SN Ic,0.00750,0.38866866586915627,0.05468535665527399,0.29671840985340536,0.24669081079261188,0.03980622099945322,False,0.2417808963261394,220.0,82,0.4756097560975609,0.524390243902439,137.97994210012257,15.922488399781288,1.8697915999218824,0.0,1.9138138523837167,0.5942892767739982
ZTF21aaabviz,SN Ia,0.06,0.18180852970898387,0.0405146994718319,0.2806707076834022,0.167664645621406,0.042463049748912456,False,0.16410486952732825,694.0,29,0.4137931034482758,0.5862068965517241,64.81055549997836,16.98521989956498,1.9353877000976356,0.0,1.462397997898956,0.4474579761935489
ZTF20adadffg,SN Ia,0.05,0.09680816299014394,0.023340307405256156,0.1677614003639315,0.09596995691977721,0.04002326374989934,False,0.09404944147084385,2092.0,27,0.4814814814814814,0.5185185185185185,45.99442130001262,16.009305499959737,1.917343799956143,0.0,1.4313637641589874,0.5870277141630781
ZTF20adadlqv,SN II,0.019,0.3556400692516728,0.025090180139883515,0.3090878548298337,0.22993936807379667,0.04228518525022082,False,0.22507785368613706,281.0,72,0.4027777777777778,0.5972222222222222,82.96127309976146,16.914074100088328,0.0586574003100395,0.0,1.8573324964312683,0.8678748205011215
ZTF20adadrdh,SN Ia,0.081,0.20168595230274544,0.049100976708293435,0.3333381137172897,0.19470834757610955,0.09970245950040407,False,0.18500189700681072,483.0,16,0.375,0.625,41.8303357004188,19.88098380016163,1.94822910008952,0.0,1.2041199826559248,0.3824975279803889
