ztf_id,ae_mse
ZTF19abaejto,0.09448946
ZTF19abaeyln,0.118797846
ZTF19abacxod,0.31485465
ZTF19abajuqh,0.11140719
ZTF19abajxet,1.0958835
ZTF19abafmwj,0.21270737
ZTF19abamqxo,0.287987
ZTF19abaosan,0.19383346
ZTF19abasxkg,0.0787125
ZTF19abauylg,0.5267101
ZTF19abakjao,0.19578248
ZTF19abbnamr,0.7818846
ZTF19abbxykm,0.15829843
ZTF19abcegvm,0.21940641
ZTF19abbwfgp,0.2025526
ZTF19abcejsg,0.33272693
ZTF19abcejoa,0.14796618
ZTF19abauzma,0.12423484
ZTF19abbvzgr,0.25192145
ZTF19abcneik,0.25876966
ZTF18abdcudb,0.17488213
ZTF19abctnpk,0.10823707
ZTF19abdqaao,0.1189534
ZTF19abegizf,0.38879573
ZTF19abctxhf,0.22272453
ZTF19abcfzdy,0.14243874
ZTF19abdkdir,0.08834872
ZTF19abdkgwo,0.16982336
ZTF19abdkgns,0.062061857
ZTF19abdyawn,0.13052084
ZTF19abdzehg,0.5340013
ZTF19abcttsc,0.24735664
ZTF19abdviwl,0.22219324
ZTF19abdoznh,0.141458
ZTF19abkfqqp,0.49679148
ZTF19abfibel,0.08065249
ZTF19abeloei,0.20116144
ZTF19abecaca,0.4308248
ZTF19abcvrpm,0.70791554
ZTF19abdrwsz,0.31489512
ZTF19abexfad,0.2792932
ZTF19abeytzv,0.21127082
ZTF19abfdszw,0.30682647
ZTF19abggnnp,0.19757566
ZTF19abfsxpw,0.19029647
ZTF19abfvhlx,0.10807438
ZTF19abfiqjg,0.141473
ZTF19abfwtkw,0.19135498
ZTF19abgfrbl,0.11700847
ZTF19abgcbey,0.2382516
ZTF19abgjlef,0.15336588
ZTF19abgfuhh,0.13433403
ZTF19abglmpf,0.31425342
ZTF19abfloxk,0.20668942
ZTF19abgmkef,0.1493357
ZTF19abgncfz,0.18618107
ZTF19abgndlf,0.25234267
ZTF19abgprpq,0.23240219
ZTF19abgpgyp,2.0559607
ZTF19abgnuri,0.14656168
ZTF18aarwxum,0.24732438
ZTF19abgqvyr,0.13258404
ZTF19abhdlxp,0.15878628
ZTF19abhiayh,0.2073862
ZTF19abgrcxs,0.19066924
ZTF19abhjhes,0.261003
ZTF19abgsyrp,0.21506526
ZTF19abgrmfu,0.4600398
ZTF19abhduuo,0.21758619
ZTF19abirbpd,0.12295579
ZTF19abhxllw,0.32477283
ZTF19abhzdjp,0.08418404
ZTF19abhphah,0.4275524
ZTF19abiahik,0.4306339
ZTF19abhzelh,0.25442684
ZTF19abhztqq,0.16435231
ZTF19abhibzk,0.109926224
ZTF19abidbya,0.17752264
ZTF19abiahko,0.22721785
ZTF19abfvnns,0.23079039
ZTF19abidfxd,0.54475075
ZTF19abguqsi,0.24685551
ZTF19abheamc,0.15530726
ZTF19abiszzn,0.3384824
ZTF19abiqfxi,0.22240368
ZTF19abiietd,0.3245679
ZTF19abimkwn,0.10778748
ZTF19abimlck,1.0369571
ZTF19abjamgc,0.2055137
ZTF19abjarhj,0.06226436
ZTF19abimzvh,0.10102462
ZTF19abkdehm,0.064468026
ZTF19abitbcj,0.24381417
ZTF19abjibet,0.18276049
ZTF19abhzewi,0.11860705
ZTF19abitljz,0.21872069
ZTF19abjozed,0.0933135
ZTF19ablpfhz,0.16242908
ZTF19abjpntj,0.17735228
ZTF19ablojrw,0.18592101
ZTF19abjsmmv,0.456655
ZTF18aaxgwpl,0.42731875
ZTF19abinjcy,0.28567517
ZTF19ablfcjr,0.20222421
ZTF18abugthp,0.12810883
ZTF19abkdrir,0.12088663
ZTF19ablusdf,0.28603923
ZTF19abjioie,0.10945485
ZTF19ablpnmk,0.22909683
ZTF19ablovot,0.19162111
ZTF19abjrjdw,0.2433998
ZTF19abmpoxa,0.3017444
ZTF19abmylxw,0.17085646
ZTF19ablesob,0.20447788
ZTF19abnimpq,0.11065108
ZTF19abmolyr,0.24680467
ZTF19ablfdwt,0.1928698
ZTF19abocled,0.082993716
ZTF19abnmrqt,0.13641952
ZTF19abnishu,0.10456745
ZTF19abomiel,0.21140604
ZTF19abopflp,0.12723593
ZTF19abopyyu,0.15726694
ZTF19abornyn,0.2530246
ZTF19abormur,0.52036244
ZTF19abowcic,0.15718941
ZTF19abpbopt,0.35262278
ZTF19aboxjlj,0.39762628
ZTF19abpbqor,0.2465216
ZTF19abpmetl,0.16113178
ZTF19abpbbxx,0.083783075
ZTF19abpgggu,0.17822978
ZTF19abnacvf,0.20651549
ZTF19abpidqn,0.42631027
ZTF19abplfxs,0.19544569
ZTF19abpelgt,0.23088525
ZTF19abqqrgy,0.24514394
ZTF19abqgzea,0.11480563
ZTF19abqwsuf,0.18235187
ZTF19abpztlw,0.14692858
ZTF19abpxiff,0.16305958
ZTF19abqanpy,2.431592
ZTF19abqgtqo,0.18138272
ZTF19abqykei,0.20569462
ZTF19abqhobb,0.7059933
ZTF19abqhikf,0.3614027
ZTF19abqlrtb,0.10529351
ZTF19abqmjdq,0.20389366
ZTF19abqsojs,0.27347422
ZTF19abqqmui,0.21322626
ZTF19abqrhvt,0.36109436
ZTF19abpzuzd,0.16139449
ZTF19abqrrto,2.006739
ZTF19abqsvgf,0.14702383
ZTF19abpyqog,0.2661602
ZTF19abqviuy,0.13284217
ZTF19abqrhvy,0.2197072
ZTF19abqwtfu,0.18341647
ZTF19abqxhhr,0.17789507
ZTF19abqysic,0.0884657
ZTF19abqyoxt,0.38329822
ZTF19abqyoxj,0.310672
ZTF19abrirmk,0.12596889
ZTF19abqykyd,0.17083205
ZTF19abrlvij,0.24157706
ZTF19abrmlxu,0.23869048
ZTF19abqxibq,0.17085908
ZTF19abrogbl,0.24507523
ZTF19abqmpsr,0.3864574
ZTF19abrsssx,0.40965557
ZTF19abrbmvt,0.24142744
ZTF19abtnftd,0.11922877
ZTF19abszdld,0.33759904
ZTF19abtslqm,0.111785986
ZTF19abtsnyy,0.3206361
ZTF19absfopz,0.17016526
