ztf_id,n_total,n_g,n_r,span,max_gap,median_gap,mag_range,frac_imputed
ZTF19acgdxel,8,4,4,25.00983799993992,13.002303299959749,2.986111100297421,0.5334119999999984,0.0
ZTF19acgemqj,14,9,5,35.00167819997296,6.996111100073904,2.900590299628675,1.2603419999999979,0.0
ZTF19acgfhfd,38,19,19,27.120729200076312,4.1194445001892745,0.9007985997013748,2.527023,0.0
ZTF19acftude,36,19,17,69.93162039993331,9.05228010006249,0.9479629998095334,0.9293249999999986,0.0
ZTF19acgbzam,28,11,17,72.87508099991828,19.15631949994713,0.9958681003190577,2.0557230000000004,0.0
ZTF19acgjnfz,47,17,30,82.96431709965691,14.860069399699569,0.9323438000865281,3.0746070000000003,0.0
ZTF19acfrntd,13,3,10,36.04185190005228,8.02797449985519,2.992390050087124,0.9166500000000006,0.0
ZTF19acgjojy,15,5,10,28.02797449985519,11.01060190005228,0.981417799834162,1.3091050000000024,0.0
ZTF19acgjosf,55,19,36,122.79857640014961,17.980023100040853,0.04252889985218644,2.2321860000000022,0.0
ZTF19acgjpgh,43,19,24,186.64760420005769,42.954537000041455,2.9877720000222325,3.0674959999999984,0.0
ZTF19acfsqjx,39,19,20,23.965104200411588,2.971006900072098,0.9463426000438631,1.339258000000001,0.0
ZTF19acgbkzr,35,14,21,94.9140625,11.916573999915272,1.450005799997598,1.6285239999999988,0.0
ZTF19acgfvvi,14,5,9,33.85681710019708,17.955023200251162,0.915729200001806,1.2666450000000005,0.0
ZTF19acfwynw,26,13,13,87.92178239999339,20.89802090032026,2.954710700083524,1.032703999999999,0.0
ZTF19achjpyc,11,4,7,39.951030099764466,11.91445600008592,3.47130209999159,1.3020519999999998,0.0
ZTF19acgmkrt,35,18,17,41.98534730030224,4.9889119998551905,0.9724537502042949,1.9087119999999977,0.0
ZTF19achagst,19,8,11,28.018854199908674,5.04745370009914,1.0602141001727432,1.3387579999999986,0.0
ZTF19acmbhvv,25,13,12,38.016157399863005,20.957013899926096,0.05706014996394515,1.7713980000000014,0.0
ZTF19achajnc,26,11,15,32.92422459973022,5.8468749998137355,0.12379630003124475,1.6174380000000035,0.0
ZTF19acgqjln,76,40,36,35.95513890031725,5.909814800135791,0.033715300261974335,2.1948469999999993,0.0
ZTF19acgrbeb,25,10,15,70.91280100028962,14.972557900007814,2.418107650242746,2.8534869999999977,0.0
ZTF19achjqbk,12,4,8,53.915844900067896,21.073425999842584,2.9966667001135647,0.9791299999999978,0.0
